x;y
-108;-117
-108;-117
-108;-117
-108;-117
-111;-117
-118;-117
-121;-117
-125;-117
-129;-117
-126;-117
-119;-117
-119;-117
-112;-117
-108;-117
-109;-117
-116;-117
-120;-117
-123;-117
-126;-117
-123;-117
-119;-117
-115;-117
-108;-117
-107;-117
-110;-117
-114;-117
-121;-117
-125;-117
-126;-117
-123;-117
-115;-117
-112;-117
-108;-117
-105;-117
-109;-117
-116;-117
-120;-117
-123;-117
-123;-117
-119;-117
-115;-117
-112;-117
-105;-117
-106;-117
-109;-117
-111;-117
-116;-117
-119;-117
-117;-117
-114;-117
-106;-117
-103;-117
-99;-117
-100;-117
-107;-117
-110;-117
-114;-117
-117;-117
-115;-117
-112;-117
-108;-117
-104;-117
-101;-117
-93;-117
-90;-117
-86;-117
-82;-117
-75;-117
-72;-117
-76;-117
-79;-117
-83;-117
-90;-117
-89;-117
-86;-117
-82;-117
-78;-117
-71;-117
-67;-117
-64;-117
-60;-117
-57;-117
-49;-117
-51;-116
-55;-114
-60;-113
-64;-111
-73;-108
-73;-108
-66;-108
-63;-108
-59;-108
-54;-108
-58;-108
-61;-108
-65;-108
-72;-108
-74;-108
-70;-108
-66;-108
-63;-108
-55;-108
-52;-108
-44;-108
-41;-108
-37;-108
-30;-108
-26;-108
-23;-108
-19;-108
-15;-108
-12;-108
-8;-108
-10;-108
-12;-108
-14;-108
-17;-108
-21;-108
-24;-108
-31;-108
-35;-108
-34;-108
-27;-108
-23;-108
-20;-108
-16;-108
-18;-108
-22;-108
-29;-108
-33;-108
-34;-108
-27;-108
-20;-108
-16;-108
-13;-108
-13;-108
-13;-108
-13;-108
-13;-108
-12;-108
-10;-108
-7;-108
-2;-108
0;-108
2;-108
11;-108
16;-108
20;-108
25;-108
30;-108
37;-108
40;-108
43;-108
47;-108
53;-108
56;-108
60;-108
66;-108
69;-108
71;-108
71;-108
71;-108
71;-108
71;-108
71;-108
71;-108
71;-108
71;-108
71;-108
