x;y
120;-117
120;-114
120;-110
120;-103
120;-99
120;-96
120;-89
120;-88
120;-85
120;-81
120;-77
120;-70
120;-66
120;-66
120;-66
120;-66
120;-66
120;-66
120;-66
120;-60
120;-56
120;-53
120;-49
120;-41
120;-36
120;-32
120;-27
120;-17
120;-15
120;-15
120;-15
120;-15
120;-15
120;-13
120;-6
120;-2
119;0
117;5
115;9
110;16
108;19
106;22
106;25
106;28
106;32
106;35
106;39
106;46
106;50
106;51
106;51
106;51
106;51
106;51
106;53
106;60
106;63
106;66
106;69
106;71
106;71
106;71
106;71
106;71
106;71
106;71
106;71
106;71
106;71
