x;y
-128;48
-124;44
-120;39
-115;35
-106;26
-104;21
-104;16
-104;7
-104;2
-104;-2
-104;-7
-104;-12
-104;-21
-104;-26
-104;-31
-104;-34
-104;-34
-104;-34
-104;-34
-104;-35
-104;-39
-104;-49
-104;-59
-104;-63
-104;-67
-104;-70
-104;-77
-104;-80
-104;-83
-104;-84
-104;-84
-104;-84
-104;-84
-104;-84
-104;-86
-104;-88
-104;-89
-104;-91
-104;-92
-104;-95
-104;-97
-104;-100
-104;-102
-104;-104
-104;-105
-104;-105
-104;-105
-104;-105
-104;-105
-104;-105
-104;-108
-104;-110
-104;-111
-104;-113
-104;-114
-104;-114
-104;-114
-104;-114
