x;y
74;99
73;99
71;99
69;99
64;99
61;99
57;99
53;99
47;103
44;104
42;106
41;108
38;110
36;110
35;110
35;110
35;110
35;110
35;107
35;105
35;100
35;97
35;95
35;94
35;94
35;94
35;94
35;94
35;94
35;94
35;94
35;94
35;93
35;91
35;89
35;87
35;83
35;81
35;79
34;79
26;79
22;79
19;79
15;79
7;79
3;79
0;79
-4;79
-12;76
-12;73
-12;69
-12;66
-12;59
-12;56
-12;52
-12;48
-12;41
-12;37
-12;35
-12;34
-12;31
-12;29
-12;28
-12;26
-12;20
-12;17
-12;15
-12;12
-12;7
-12;4
-12;2
-12;0
-12;-5
-12;-5
-12;-5
-12;-5
-12;-5
-12;-5
-12;-5
-15;-5
-21;-5
-24;-5
-27;-5
-30;-5
-36;-5
-39;-5
-42;-5
-45;-5
-50;-5
-51;-5
-51;-5
-51;-5
-51;-7
-51;-10
-51;-14
-51;-21
-51;-25
-51;-29
-51;-32
-51;-36
-51;-43
-51;-46
-51;-49
-53;-49
-58;-49
-64;-49
-69;-49
-75;-49
-85;-49
-89;-49
-93;-49
-97;-49
-104;-49
-108;-49
-108;-49
-108;-49
-108;-49
-108;-52
-108;-56
-108;-59
-108;-66
-106;-71
-104;-74
-101;-80
-99;-82
-97;-85
-97;-89
-97;-90
