;time;x;y;fx;fy
;63;120;-117;0;594
;126;120;-113;0;594
;189;120;-106;0;594
;252;120;-102;0;594
;315;120;-99;0;594
;378;120;-95;0;439
;441;120;-88;0;439
;504;120;-84;0;439
;567;120;-81;0;439
;630;120;-77;0;439
;693;120;-70;0;485
;756;120;-66;0;485
;819;120;-62;0;485
;882;120;-59;0;485
;945;120;-51;0;485
;1008;120;-48;0;546
;1071;120;-44;0;546
;1134;120;-40;0;546
;1197;120;-33;0;546
;1260;120;-30;0;546
;1323;120;-26;0;359
;1386;120;-22;0;359
;1449;120;-18;0;359
;1512;120;-11;0;359
;1575;120;-7;-29;359
;1638;120;-6;-29;83
;1701;120;-6;-29;83
;1764;120;-6;-29;83
;1827;120;-6;-29;83
;1890;120;-6;-40;83
;1953;120;-6;-40;40
;2016;120;-6;-40;40
;2079;120;-6;-40;40
;2142;120;-6;-40;40
;2205;120;-6;-79;40
;2268;120;-1;-79;357
;2331;120;2;-79;357
;2394;120;5;-79;357
;2457;120;9;-79;357
;2520;120;16;-104;314
;2583;120;20;-104;314
;2646;120;24;-104;314
;2709;120;27;-104;314
;2772;120;35;-88;314
;2835;120;38;-88;0
;2898;120;39;-88;0
;2961;120;39;-88;0
;3024;120;39;-88;0
;3087;120;39;-88;0
;3150;118;39;-118;0
;3213;117;39;-118;58
;3276;114;39;-118;58
;3339;112;39;-118;58
;3402;111;39;-118;58
;3465;109;39;-157;58
;3528;104;44;-157;195
;3591;102;47;-157;195
;3654;100;50;-157;195
;3717;98;54;-157;195
;3780;94;60;-122;195
;3843;92;64;-122;284
;3906;91;67;-122;284
;3969;89;71;-122;284
;4032;87;79;-72;284
;4095;87;82;-72;284
;4158;87;86;-72;284
;4221;87;88;-72;0
;4284;87;88;-72;0
;4347;87;88;-90;0
;4410;87;88;-90;0
;4473;87;88;-90;0
;4536;87;88;-90;0
;4599;87;88;-90;0
;4662;87;88;-84;0
;4725;87;88;-84;0
;4788;87;88;-84;45
;4851;87;88;-84;45
;4914;87;88;-84;45
;4977;86;88;-111;45
;5040;83;88;-111;45
;5103;82;88;-111;93
;5166;80;88;-111;93
;5229;79;88;-111;93
;5292;77;88;-104;93
;5355;77;88;-104;93
;5418;77;88;-104;93
;5481;77;90;-104;132
;5544;77;93;-104;132
;5607;77;95;-85;132
;5670;77;97;-85;132
;5733;77;98;-85;132
;5796;77;99;-85;0
;5859;77;99;-85;0
;5922;77;99;-77;0
;5985;77;99;-77;0
;6048;77;99;-77;0
;6111;77;99;-77;-32
;6174;77;99;-77;-32
;6237;77;99;-93;-32
;6300;77;99;-93;-32
;6363;77;99;-93;-32
;6426;77;99;-93;0
;6489;77;99;-93;0
;6552;74;99;-137;0
;6615;73;99;-137;0
;6678;71;99;-137;55
;6741;69;99;-137;55
;6804;64;99;-214;55
;6867;61;99;-214;55
;6930;57;99;-214;55
;6993;53;99;-214;133
;7056;47;103;-214;133
;7119;44;104;-113;133
;7182;42;106;-113;133
;7245;41;108;-113;133
;7308;38;110;-113;-43
;7371;36;110;-113;-43
;7434;35;110;0;-43
;7497;35;110;0;-43
;7560;35;110;0;-43
;7623;35;110;0;-43
;7686;35;107;0;-172
;7749;35;105;0;-172
;7812;35;100;-29;-172
;7875;35;97;-29;-172
;7938;35;95;-29;-172
;8001;35;94;-29;-103
;8064;35;94;-44;-103
;8127;35;94;-44;-103
;8190;35;94;-44;-103
;8253;35;94;-44;-103
;8316;35;94;-44;-102
;8379;35;94;-68;-102
;8442;35;94;-68;-102
;8505;35;94;-68;-102
;8568;35;93;-68;-148
;8631;35;91;-68;-148
;8694;35;89;-103;-148
;8757;35;87;-103;-148
;8820;35;83;-103;-148
;8883;35;81;-103;-148
;8946;35;79;-103;-64
;9009;34;79;-224;-64
;9072;26;79;-224;-64
;9135;22;79;-224;-64
;9198;19;79;-224;-64
;9261;15;79;-224;-72
;9324;7;79;-260;-72
;9387;3;79;-260;-72
;9450;0;79;-260;-72
;9513;-4;79;-260;-72
;9576;-12;76;-260;-225
;9639;-12;73;-51;-225
;9702;-12;69;-51;-225
;9765;-12;66;-51;-225
;9828;-12;59;-51;-225
;9891;-12;56;-51;-369
;9954;-12;52;0;-369
;10017;-12;48;0;-369
;10080;-12;41;0;-369
;10143;-12;37;0;-369
;10206;-12;35;0;-116
;10269;-12;34;-101;-116
;10332;-12;31;-101;-116
;10395;-12;29;-101;-116
;10458;-12;28;-101;-116
;10521;-12;26;-101;-191
;10584;-12;20;0;-191
;10647;-12;17;0;-191
;10710;-12;15;0;-191
;10773;-12;12;0;-191
;10836;-12;7;0;-184
;10899;-12;4;0;-184
;10962;-12;2;0;-184
;11025;-12;0;0;-184
;11088;-12;-5;0;-44
;11151;-12;-5;-108;-44
;11214;-12;-5;-108;-44
;11277;-12;-5;-108;-44
;11340;-12;-5;-108;-44
;11403;-12;-5;-108;0
;11466;-12;-5;-206;0
;11529;-15;-5;-206;0
;11592;-21;-5;-206;0
;11655;-24;-5;-206;0
;11718;-27;-5;-206;-28
;11781;-30;-5;-206;-28
;11844;-36;-5;-186;-28
;11907;-39;-5;-186;-28
;11970;-42;-5;-186;-28
;12033;-45;-5;-186;-28
;12096;-50;-5;-186;-101
;12159;-51;-5;-39;-101
;12222;-51;-5;-39;-101
;12285;-51;-5;-39;-101
;12348;-51;-7;-39;-320
;12411;-51;-10;-39;-320
;12474;-51;-14;0;-320
;12537;-51;-21;0;-320
;12600;-51;-25;0;-320
;12663;-51;-29;0;-240
;12726;-51;-32;0;-240
;12789;-51;-36;0;-240
;12852;-51;-43;0;-240
;12915;-51;-46;0;-240
;12978;-51;-49;0;0
;13041;-53;-49;-278;0
;13104;-58;-49;-278;0
;13167;-64;-49;-278;29
;13230;-69;-49;-278;29
;13293;-75;-49;-278;29
;13356;-85;-49;-241;29
;13419;-89;-49;-241;29
;13482;-93;-49;-241;0
;13545;-97;-49;-241;0
;13608;-104;-49;-241;-78
;13671;-108;-49;0;-78
;13734;-108;-49;0;-78
;13797;-108;-49;0;-78
;13860;-108;-49;55;-294
;13923;-108;-52;55;-294
;13986;-108;-56;55;-294
;14049;-108;-59;55;-294
;14112;-108;-66;55;-294
;14175;-106;-71;125;-294
;14238;-104;-74;125;-205
;14301;-101;-80;125;-205
;14364;-99;-82;125;-205
;14427;-97;-85;125;-205
;14490;-97;-89;0;-205
;14553;-97;-90;0;0
;14616;-97;-90;-108;0
;14679;-97;-90;-108;0
;14742;-97;-90;-108;51
;14805;-97;-90;-108;51
;14868;-97;-90;-108;51
;14931;-99;-90;-474;51
;14994;-102;-90;-474;51
;15057;-110;-87;-474;121
;15120;-113;-86;-474;121
;15183;-117;-84;-474;121
;15246;-119;-82;0;121
;15309;-119;-79;0;0
;15372;-119;-79;0;0
;15435;-119;-80;0;-158
;15498;-119;-82;0;-158
;15561;-119;-86;0;-158
;15624;-119;-88;0;-158
;15687;-119;-90;78;-158
;15750;-119;-92;78;-193
;15813;-119;-98;78;-193
;15876;-119;-101;78;-193
;15939;-119;-103;78;-193
;16002;-119;-106;0;-193
;16065;-119;-109;0;-32
