x;y
111;-101
111;-96
111;-92
111;-87
111;-77
111;-73
111;-68
111;-59
111;-54
111;-52
111;-52
111;-52
111;-52
110;-52
106;-52
99;-47
95;-44
92;-41
89;-37
89;-32
89;-29
89;-29
89;-29
89;-29
89;-29
89;-29
89;-29
89;-29
89;-29
89;-29
84;-29
81;-29
77;-31
74;-34
69;-41
67;-44
66;-48
63;-48
61;-48
61;-48
61;-48
61;-48
61;-49
61;-52
61;-57
61;-59
61;-62
61;-64
61;-64
61;-64
61;-64
61;-64
61;-64
61;-64
64;-64
67;-64
67;-64
70;-64
70;-64
70;-64
70;-64
70;-64
70;-64
71;-64
72;-64
75;-64
77;-64
78;-64
79;-64
79;-64
79;-64
79;-64
79;-64
79;-64
79;-64
79;-64
79;-64
79;-65
79;-66
79;-68
79;-71
79;-72
79;-74
79;-75
79;-75
79;-75
79;-75
79;-75
83;-75
86;-75
88;-75
91;-75
94;-75
94;-75
93;-75
90;-75
90;-75
84;-75
78;-74
75;-72
70;-70
66;-67
61;-65
52;-60
48;-55
45;-52
42;-49
38;-46
32;-40
30;-40
30;-40
30;-40
30;-40
30;-40
30;-40
30;-40
30;-40
30;-40
30;-40
30;-37
22;-31
17;-28
12;-25
3;-19
0;-15
-3;-12
-9;-6
-12;-3
-16;-1
-19;-1
-21;-1
-24;-1
-28;-1
-31;0
-39;6
-43;9
-48;12
-52;15
-60;22
-62;27
-62;27
-67;36
-69;40
-74;47
-76;50
-78;53
-80;55
-82;58
-84;61
-88;61
-91;61
-95;61
-95;61
-100;61
-102;61
-105;61
-106;61
-108;61
-109;61
-110;61
-110;61
-110;61
-110;61
-110;62
-110;67
-110;69
-110;72
-110;75
-110;77
-110;80
-110;81
-110;84
-110;85
-110;85
-110;85
-110;85
