time;x;y;fx;fy
63;120;-116;0;221
126;120;-113;0;221
189;120;-110;0;221
252;120;-106;0;221
315;120;-105;0;91
378;120;-105;0;91
441;120;-105;0;91
504;120;-105;0;91
567;120;-105;0;91
630;120;-102;0;145
693;120;-100;0;145
756;120;-98;0;145
819;120;-96;0;145
882;120;-92;0;274
945;120;-87;0;274
1008;120;-82;0;274
1071;120;-73;0;274
1134;120;-68;0;274
1197;120;-63;0;311
1260;120;-60;0;311
1323;120;-56;0;311
1386;120;-49;0;311
1449;120;-45;0;311
1512;120;-41;0;230
1575;120;-35;0;230
1638;120;-31;0;230
1701;120;-28;0;230
1764;120;-25;0;230
1827;120;-19;0;184
1890;120;-16;0;184
1953;120;-14;0;184
2016;120;-11;0;184
2079;120;-6;0;184
2142;120;-4;0;163
2205;120;-1;0;163
2268;120;0;0;163
2331;120;5;0;163
2394;120;8;0;163
2457;120;10;0;156
2520;120;12;-28;156
2583;120;17;-28;156
2646;120;19;-28;156
2709;120;21;-28;156
2772;120;23;-28;165
2835;120;28;-36;165
2898;120;31;-36;165
2961;120;33;-36;165
3024;120;36;-36;165
3087;120;41;-49;189
3150;120;44;-49;189
3213;120;47;-49;189
3276;120;50;-49;189
3339;120;56;-49;100
3402;120;56;-60;100
3465;120;56;-60;100
3528;120;56;-60;100
3591;120;56;-60;100
3654;120;56;-60;163
3717;120;58;-80;163
3780;120;60;-80;163
3843;120;65;-80;163
3906;120;68;-80;163
3969;120;70;-80;163
4032;120;73;-80;170
4095;116;78;-138;170
4158;114;80;-138;170
4221;112;83;-138;170
4284;110;85;-138;170
4347;106;86;-130;42
4410;105;86;-130;42
4473;103;86;-130;42
4536;101;86;-130;42
4599;98;86;-130;57
4662;96;86;-121;57
4725;94;86;-121;57
4788;93;86;-121;57
4851;89;86;-121;57
4914;87;88;-121;442
4977;86;91;-143;442
5040;84;95;-143;442
5103;80;102;-143;442
5166;79;106;-143;442
5229;77;109;-143;294
5292;75;113;-105;294
5355;75;120;-105;294
5418;75;124;-105;294
5481;75;128;-105;294
5544;75;130;-105;0
5607;75;130;-40;0
5670;75;130;-40;0
5733;75;129;-40;-202
5796;75;126;-40;-202
5859;75;120;-30;-202
5922;75;116;-30;-202
5985;75;113;-30;-202
6048;75;110;-30;-202
6111;75;106;-30;-146
6174;75;104;-30;-146
6237;75;102;-37;-146
6300;75;100;-37;-146
6363;75;97;-37;-92
6426;75;97;-37;-92
6489;75;97;-37;-92
6552;75;97;-44;-92
6615;75;97;-44;-92
6678;75;96;-44;-115
6741;75;95;-44;-115
6804;75;93;-44;-115
6867;75;92;-55;-115
6930;75;89;-55;-115
6993;75;88;-55;-93
7056;75;88;-55;-93
7119;75;88;-63;-93
7182;75;88;-63;-93
7245;75;88;-63;-93
7308;75;88;-63;-112
7371;75;85;-63;-112
7434;75;83;-78;-112
7497;75;82;-78;-112
7560;75;80;-78;-112
7623;75;79;-78;-103
7686;75;79;-78;-103
7749;75;79;-95;-103
7812;75;79;-95;-103
7875;75;79;-95;-101
7938;75;79;-95;-101
8001;75;79;-95;-101
8064;75;79;-166;-101
8127;71;79;-166;-101
8190;68;79;-166;-101
8253;66;77;-166;-120
8316;63;76;-166;-120
8379;58;72;-167;-120
8442;56;71;-167;-120
8505;53;69;-167;-120
8568;51;68;-167;-107
8631;46;68;-167;-107
8694;45;68;-85;-107
8757;45;68;-85;-107
8820;45;68;-85;-107
8883;45;67;-85;-139
8946;45;63;-85;-139
9009;45;62;-126;-139
9072;43;60;-126;-139
9135;41;58;-126;-139
9198;38;53;-126;-166
9261;36;51;-126;-166
9324;35;48;-78;-166
9387;35;46;-78;-166
