x;y
-145;73
-142;73
-137;71
-133;69
-124;64
-121;61
-114;57
-110;57
-107;57
-105;58
-105;62
-105;64
-105;66
-105;68
-104;70
-100;70
-93;69
-89;66
-85;62
-81;59
-74;52
-70;49
-66;49
-63;49
-59;49
-52;49
-48;49
-41;49
-37;49
-34;49
-32;49
-37;47
-41;46
-45;44
-53;41
-62;37
-76;30
-80;28
-85;26
-89;24
-96;24
-100;24
-103;24
-104;24
-97;19
-89;12
-82;5
-76;0
-73;-2
-70;-4
-65;-8
-65;-10
-65;-10
-65;-9
-65;-7
-65;-6
-65;-3
-65;0
-65;0
-65;-1
-66;-4
-68;-6
-71;-8
-72;-8
